Year ,Month ,RATED KW,VOLTS ,RATED AMP,TESTING AMP,TEMPERATURE,HUMIDITY ,Fault 
2017,September,0.08,310,0.36,0.2,0.18,0.09,Water Penetrater
2017,September,0.08,370,0.36,0.25,0.18,0.09,Water Penetrater
2017,September,0.08,249,0.36,0.23,0.18,0.09,Water Penetrater
2017,September,45,279,80,26,9050.97,4638.22,Water Penetrater
2017,September,1.83,243,4.2,2,24.95,12.78,Winding Short
2017,September,4.4,335,8.9,1.3,112.02,57.41,Water Penetrater
2017,October,0.4,329,3,1.2,12.73,6.52,Over Load
2017,October,2.2,274,4.35,3,26.76,13.71,Over Load
2017,October,,202,,4,0.00,0.00,Water penetrater
2017,October,1.1,205,2.69,1.2,10.23,5.24,Water penetrater
2017,October,2.2,255,4.35,1.7,26.76,13.71,Over Load
2017,October,0.08,273,0.36,0.21,0.18,0.09,Water Penetrater
2017,October,2.2,247,4.35,1.7,26.76,13.71,Over Load
2017,October,0.08,345,0.36,0.23,0.18,0.09,Bearing Jam
2017,October,0.12,264,0.56,0.28,0.44,0.23,Insulation Weak
2017,October,0.12,350,0.56,0.21,0.44,0.23,Winding short
2017,October,,336,,1.8,0.00,0.00,Water penetrater
2017,October,1.75,299,3.6,1.9,18.33,9.39,Water penetrater
2017,October,2.2,298,4.35,1.7,26.76,13.71,Over Load
2017,October,,304,,2.5,0.00,0.00,Water penetrater
2017,October,0.55,392,1.52,1.4,3.27,1.67,Bearing Damage
2017,October,0.9,343,0.61,0.2,0.53,0.27,Bearing Jam
2017,October,0.08,341,0.36,0.21,0.18,0.09,Water Penetrater
2017,October,1.83,313,4.2,1.8,24.95,12.78,Winding short
2017,October,0.08,380,0.36,0.21,0.18,0.09,Water Penetrater
2017,October,2.2,353,5.5,3.5,42.78,21.92,Over Load
2017,October,,288,,1.2,0.00,0.00,Over Load
2017,November,0.4,261,3,1.2,12.73,6.52,Over Load
2017,November,0.08,206,0.36,0.21,0.18,0.09,Bearing Jam
2017,November,0.08,296,0.36,0.23,0.18,0.09,Bearing Jam
2017,November,2.2,338,7.2,1.6,73.31,37.57,water penetrater
2017,November,3,359,6.55,3.3,60.67,31.09,Water Penetrate 
2017,November,0.08,394,0.36,0.2,0.18,0.09,Bearing Jam
2017,November,0.12,284,0.56,0.28,0.44,0.23,Insulation Weak
2017,November,,280,,2.5,0.00,0.00,Water penetrater
2017,November,,205,,0.8,0.00,0.00,Bearing Damage
2017,November,0.08,246,0.36,0.22,0.18,0.09,Bearing Jam
2017,November,3,210,6.55,3.3,60.67,31.09,Water Penetrate 
2017,November,,278,,1.9,0.00,0.00,Water Penetrate 
2017,November,0.08,292,0.36,0.19,0.18,0.09,Insulation Weak
